country,product,category,price_usd,units_sold,profit_usd,exchange_rate_to_usd,gdp_per_capita,population_millions
France,Headphones,Accessories,308.27,768,66376.72,0.92,45000,65
India,Phone,Electronics,652.83,375,58182.38,83,2500,1400
Canada,Phone,Electronics,362.88,456,37304.33,1.35,52000,38
Germany,Tablet,Electronics,589.56,161,8074.67,0.92,52000,83
Brazil,Laptop,Electronics,138.09,467,10893.94,5.1,9000,213
UK,Phone,Electronics,528.36,124,16914.22,0.78,48000,67
UAE,Phone,Electronics,106.9,901,10026.82,3.67,43000,10
USA,Smartwatch,Accessories,244.9,662,41957.11,1,70000,331
USA,Smartwatch,Accessories,322.47,621,47887.82,1,70000,331
Canada,Headphones,Accessories,618.81,679,32667.06,1.35,52000,38
UK,Phone,Electronics,707.91,595,22352.52,0.78,48000,67
Canada,Headphones,Accessories,185.79,614,34176.65,1.35,52000,38
Japan,Phone,Electronics,436.66,257,12616.46,150,40000,125
Canada,Laptop,Electronics,981.33,207,40695.46,1.35,52000,38
Germany,Laptop,Electronics,525.96,319,21399.39,0.92,52000,83
Brazil,Phone,Electronics,564.06,536,20622.33,5.1,9000,213
UAE,Smartwatch,Accessories,101.52,364,8383.56,3.67,43000,10
USA,Tablet,Electronics,91.35,194,2528.76,1,70000,331
UK,Tablet,Electronics,826.82,961,218896.98,0.78,48000,67
USA,Laptop,Electronics,607.58,1000,181506.4,1,70000,331
Australia,Headphones,Accessories,339.29,333,24347.38,1.5,55000,26
Australia,Headphones,Accessories,675.74,139,6295.45,1.5,55000,26
Japan,Laptop,Electronics,733.28,432,86233.33,150,40000,125
Brazil,Tablet,Electronics,136.95,924,34863.76,5.1,9000,213
UAE,Tablet,Electronics,725.44,721,30734.23,3.67,43000,10
USA,Smartwatch,Accessories,923.41,114,24203.48,1,70000,331
Brazil,Headphones,Accessories,813.44,508,106430.75,5.1,9000,213
Australia,Laptop,Electronics,991.96,567,53239.37,1.5,55000,26
India,Laptop,Electronics,361.16,258,16958.82,83,2500,1400
Japan,Tablet,Electronics,195.99,533,11267.44,150,40000,125
Germany,Headphones,Accessories,583.21,937,134618.44,0.92,52000,83
Japan,Smartwatch,Accessories,223.25,718,24833.65,150,40000,125
Canada,Tablet,Electronics,401.19,502,47397.85,1.35,52000,38
Australia,Tablet,Electronics,812.58,117,10189.87,1.5,55000,26
Japan,Laptop,Electronics,383.09,109,9561.32,150,40000,125
India,Smartwatch,Accessories,479.81,807,64242.2,83,2500,1400
Canada,Tablet,Electronics,223.91,882,38797.56,1.35,52000,38
India,Phone,Electronics,637.04,743,138172.98,83,2500,1400
Canada,Laptop,Electronics,116.29,76,863.29,1.35,52000,38
India,Laptop,Electronics,61.81,485,7662.6,83,2500,1400
Japan,Phone,Electronics,166.75,238,9017.84,150,40000,125
UK,Smartwatch,Accessories,829.92,798,195108.84,0.78,48000,67
USA,Tablet,Electronics,938.53,250,69855.33,1,70000,331
Australia,Laptop,Electronics,271.93,985,30539.54,1.5,55000,26
France,Headphones,Accessories,620.64,605,45929.4,0.92,45000,65
France,Tablet,Electronics,696.72,946,158390.48,0.92,45000,65
France,Smartwatch,Accessories,812.39,226,46890.04,0.92,45000,65
UK,Laptop,Electronics,904.96,276,39539.98,0.78,48000,67
UAE,Phone,Electronics,387.5,87,6430.72,3.67,43000,10
Australia,Laptop,Electronics,469.9,845,34144.92,1.5,55000,26
UK,Phone,Electronics,83.7,387,1955.92,0.78,48000,67
France,Laptop,Electronics,714.71,520,62999.88,0.92,45000,65
Canada,Smartwatch,Accessories,602.25,971,113523.31,1.35,52000,38
UK,Smartwatch,Accessories,899.21,936,174053.33,0.78,48000,67
India,Laptop,Electronics,440.91,599,34680.22,83,2500,1400
India,Laptop,Electronics,222.67,706,26831.18,83,2500,1400
Germany,Phone,Electronics,578.46,426,55598.69,0.92,52000,83
Australia,Phone,Electronics,387.36,349,20664.6,1.5,55000,26
India,Headphones,Accessories,262.06,838,49835,83,2500,1400
Japan,Smartwatch,Accessories,554.53,835,116358.07,150,40000,125
France,Headphones,Accessories,846.21,949,239749.39,0.92,45000,65
Canada,Headphones,Accessories,289.42,530,12135.54,1.35,52000,38
Australia,Smartwatch,Accessories,395.06,296,32469.2,1.5,55000,26
Germany,Laptop,Electronics,320.26,539,36339.67,0.92,52000,83
USA,Headphones,Accessories,858.05,149,13622.36,1,70000,331
Australia,Tablet,Electronics,623.91,988,93918.61,1.5,55000,26
USA,Tablet,Electronics,854.88,185,40799.01,1,70000,331
India,Tablet,Electronics,724.92,767,52654.8,83,2500,1400
Canada,Headphones,Accessories,536.18,567,48839.86,1.35,52000,38
Australia,Tablet,Electronics,380.41,946,84944.05,1.5,55000,26
UK,Phone,Electronics,828.62,928,225026.04,0.78,48000,67
India,Laptop,Electronics,849.54,440,52906.59,83,2500,1400
USA,Phone,Electronics,293.07,979,64770.86,1,70000,331
France,Headphones,Accessories,451.19,186,12600.46,0.92,45000,65
Brazil,Headphones,Accessories,310.74,537,12964.5,5.1,9000,213
Japan,Smartwatch,Accessories,360.53,759,19672.18,150,40000,125
France,Tablet,Electronics,662.64,934,177096.81,0.92,45000,65
Brazil,Phone,Electronics,528.72,693,64955.93,5.1,9000,213
Japan,Headphones,Accessories,716.3,574,84560.28,150,40000,125
Japan,Laptop,Electronics,343.06,446,22571.43,150,40000,125
UK,Smartwatch,Accessories,961.96,833,48936.85,0.78,48000,67
Australia,Phone,Electronics,872.83,725,140827.89,1.5,55000,26
